,unique_id,ds,y
35928,M1266,1983-01-31,5572.3
35929,M1266,1983-02-28,5565.55
35930,M1266,1983-03-31,5576.85
35931,M1266,1983-04-30,5577.3
35932,M1266,1983-05-31,5598.85
35933,M1266,1983-06-30,5752.55
35934,M1266,1983-07-31,5782.2
35935,M1266,1983-08-31,5763.0
35936,M1266,1983-09-30,5694.6
35937,M1266,1983-10-31,5686.85
35938,M1266,1983-11-30,5691.6
35939,M1266,1983-12-31,5674.15
35940,M1266,1984-01-31,5635.55
35941,M1266,1984-02-29,5652.6
35942,M1266,1984-03-31,5675.7
35943,M1266,1984-04-30,5692.25
35944,M1266,1984-05-31,5747.05
35945,M1266,1984-06-30,5854.15
35946,M1266,1984-07-31,5894.8
35947,M1266,1984-08-31,5839.4
35948,M1266,1984-09-30,5778.15
35949,M1266,1984-10-31,5797.75
35950,M1266,1984-11-30,5790.7
35951,M1266,1984-12-31,5786.3
35952,M1266,1985-01-31,5758.6
35953,M1266,1985-02-28,5764.75
35954,M1266,1985-03-31,5804.75
35955,M1266,1985-04-30,5801.35
35956,M1266,1985-05-31,5829.75
35957,M1266,1985-06-30,5913.7
35958,M1266,1985-07-31,5962.0
35959,M1266,1985-08-31,5920.25
35960,M1266,1985-09-30,5879.1
35961,M1266,1985-10-31,5902.3
35962,M1266,1985-11-30,5889.95
35963,M1266,1985-12-31,5873.9
35964,M1266,1986-01-31,5856.1
35965,M1266,1986-02-28,5870.8
35966,M1266,1986-03-31,5900.1
35967,M1266,1986-04-30,5900.6
35968,M1266,1986-05-31,5944.3
35969,M1266,1986-06-30,6066.2
35970,M1266,1986-07-31,6098.75
35971,M1266,1986-08-31,6058.4
35972,M1266,1986-09-30,5998.0
35973,M1266,1986-10-31,6022.4
35974,M1266,1986-11-30,6018.7
35975,M1266,1986-12-31,5989.95
35976,M1266,1987-01-31,5972.55
35977,M1266,1987-02-28,5985.35
35978,M1266,1987-03-31,6004.45
35979,M1266,1987-04-30,6004.1
35980,M1266,1987-05-31,6071.05
35981,M1266,1987-06-30,6143.55
35982,M1266,1987-07-31,6191.25
35983,M1266,1987-08-31,6167.5
35984,M1266,1987-09-30,6081.35
35985,M1266,1987-10-31,6124.25
35986,M1266,1987-11-30,6118.3
35987,M1266,1987-12-31,6097.8
35988,M1266,1988-01-31,6074.55
35989,M1266,1988-02-29,6083.9
35990,M1266,1988-03-31,6084.65
35991,M1266,1988-04-30,6099.8
35992,M1266,1988-05-31,6124.45
35993,M1266,1988-06-30,6235.65
35994,M1266,1988-07-31,6278.05
35995,M1266,1988-08-31,6254.4
35996,M1266,1988-09-30,6177.3
35997,M1266,1988-10-31,6205.95
35998,M1266,1988-11-30,6217.2
35999,M1266,1988-12-31,6190.8
36000,M1266,1989-01-31,6189.55
36001,M1266,1989-02-28,6179.5
36002,M1266,1989-03-31,6195.35
36003,M1266,1989-04-30,6213.0
36004,M1266,1989-05-31,6243.45
36005,M1266,1989-06-30,6361.75
36006,M1266,1989-07-31,6395.2
36007,M1266,1989-08-31,6356.6
36008,M1266,1989-09-30,6276.5
36009,M1266,1989-10-31,6306.25
36010,M1266,1989-11-30,6318.4
36011,M1266,1989-12-31,6284.9
36012,M1266,1990-01-31,6249.5
36013,M1266,1990-02-28,6256.0
36014,M1266,1990-03-31,6272.9
36015,M1266,1990-04-30,6273.65
36016,M1266,1990-05-31,6313.95
36017,M1266,1990-06-30,6396.85
36018,M1266,1990-07-31,6426.35
36019,M1266,1990-08-31,6382.6
36020,M1266,1990-09-30,6319.0
36021,M1266,1990-10-31,6329.5
36022,M1266,1990-11-30,6321.8
36023,M1266,1990-12-31,6312.35
36024,M1266,1991-01-31,6260.0
36025,M1266,1991-02-28,6283.6
36026,M1266,1991-03-31,6295.15
36027,M1266,1991-04-30,6309.15
36028,M1266,1991-05-31,6315.75
36029,M1266,1991-06-30,6427.95
36030,M1266,1991-07-31,6446.55
36031,M1266,1991-08-31,6385.65
36032,M1266,1991-09-30,6351.45
36033,M1266,1991-10-31,6359.1
36034,M1266,1991-11-30,6350.05
36035,M1266,1991-12-31,6335.6
36036,M1266,1992-01-31,6333.55
36037,M1266,1992-02-29,6348.55
36038,M1266,1992-03-31,6369.1
36039,M1266,1992-04-30,6372.75
36040,M1266,1992-05-31,6413.95
36041,M1266,1992-06-30,6528.6
36042,M1266,1992-07-31,6558.4
36043,M1266,1992-08-31,6501.95
36044,M1266,1992-09-30,6430.5
36045,M1266,1992-10-31,6419.9
36046,M1266,1992-11-30,6430.9
36047,M1266,1992-12-31,6420.95
36048,M1266,1993-01-31,6377.45
36049,M1266,1993-02-28,6400.85
36050,M1266,1993-03-31,6408.95
36051,M1266,1993-04-30,6399.15
36052,M1266,1993-05-31,6464.55
36053,M1266,1993-06-30,6565.8
36054,M1266,1993-07-31,6589.75
36055,M1266,1993-08-31,6547.7
36056,M1266,1993-09-30,6467.0
36057,M1266,1993-10-31,6501.1
36058,M1266,1993-11-30,6499.55
36059,M1266,1993-12-31,6493.1
36060,M1266,1994-01-31,6541.45
36061,M1266,1994-02-28,6559.5
36062,M1266,1994-03-31,6557.35
